Sl. No.,State/UT,National Highways - Cases,National Highways - Injured,National Highways - Died,State Highways - Cases,State Highways - Injured,State Highways - Died,Expressways - Cases,Expressways - Injured,Expressways - Died,Other Roads - Cases,Other Roads - Injured,Other Roads - Died,Total - Cases,Total - Injured,Total - Died
1,Andhra Pradesh,8276,8507,3806,4499,4595,1887,0,0,0,7174,7307,2444,19949,20409,8137
2,Arunachal Pradesh,146,150,75,23,16,17,0,0,0,64,52,44,233,218,136
3,Assam,3427,2770,1564,1750,1454,707,0,0,0,2244,1693,1025,7421,5917,3296
4,Bihar,4925,2925,4056,2264,1409,1805,0,0,0,3825,2205,3012,11014,6539,8873
5,Chhattisgarh,4024,3494,1921,2083,1855,1066,0,0,0,7362,6375,3179,13469,11724,6166
6,Goa,1152,362,102,399,191,49,0,0,0,1296,627,141,2847,1180,292
7,Gujarat,3477,2953,2139,4005,4168,2267,102,94,55,8765,8168,3393,16349,15383,7854
8,Haryana,3557,2724,1903,1829,1498,923,189,160,138,5508,4284,2437,11083,8666,5401
9,Himachal Pradesh,1069,1544,358,409,546,136,0,0,0,777,1211,391,2255,3301,885
10,Jharkhand,1994,1212,1672,1085,690,858,0,0,0,2237,1684,1643,5316,3586,4173
11,Karnataka,13756,16856,4230,10979,14434,3449,521,540,188,18183,20717,4455,43439,52547,12322
12,Kerala,9713,11906,1012,11542,13777,1064,27,25,0,24699,28618,2004,45981,54326,4080
13,Madhya Pradesh,13945,13843,4184,11531,12472,3164,0,0,0,29287,28384,6750,54763,54699,14098
14,Maharashtra,9027,7961,5104,6653,5753,3616,193,127,153,15474,14371,6561,31347,28212,15434
15,Manipur,272,464,52,55,68,9,0,0,0,71,104,12,398,636,73
16,Meghalaya,125,119,80,35,38,33,0,0,0,72,102,55,232,259,168
17,Mizoram,31,36,28,9,17,9,0,0,0,7,0,12,47,53,49
18,Nagaland,22,18,27,10,27,7,0,0,0,3,1,3,35,46,37
19,Odisha,4446,3749,2093,2291,2114,1118,206,152,116,5046,4352,2410,11989,10367,5737
20,Punjab,2264,1311,1896,1545,898,1208,0,0,0,2467,1096,1802,6276,3305,4906
21,Rajasthan,7148,7033,4110,4380,4181,2304,70,57,46,13263,11997,5472,24861,23268,11932
22,Sikkim,63,147,19,65,166,30,0,0,0,46,63,19,174,376,68
23,Tamil Nadu,20582,23575,6258,23166,24420,6325,0,0,0,23465,24297,5764,67213,72292,18347
24,Telangana,8088,7108,3053,1860,1705,717,15,8,5,12940,12201,3885,22903,21022,7660
25,Tripura,255,254,129,209,223,85,0,0,0,113,132,47,577,609,261
26,Uttar Pradesh,10990,7115,7041,9685,5764,6018,2133,1553,1609,14956,9411,9279,37764,23843,23947
27,Uttarakhand,817,698,513,303,309,233,0,0,0,571,481,308,1691,1488,1054
28,West Bengal,3457,2822,1932,2384,1963,1239,161,42,53,4398,3288,2479,10400,8115,5703
Total (States),Total (States),137048,131656,59357,105048,104751,40343,3617,2758,2363,204313,193221,69026,450026,432386,171089
29,Andaman and Nicobar Islands,7,2,7,6,1,6,0,0,0,12,8,14,25,11,27
30,Chandigarh,11,5,4,0,0,0,0,0,0,171,166,63,182,171,67
31,Dadra and Nagar Haveli and Daman and Diu,4,5,3,83,63,40,0,0,0,96,148,38,183,216,81
32,Delhi,712,633,231,364,272,105,13,4,9,4626,3971,1112,5715,4880,1457
33,Jammu and Kashmir,2330,3181,416,729,1062,81,0,0,0,3241,4173,400,6300,8416,897
34,Ladakh,141,209,38,111,27,13,0,0,0,37,74,8,289,310,59
35,Lakshadweep,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0
36,Puducherry,497,502,71,135,140,23,0,0,0,676,936,55,1308,1578,149
Total (UTs),Total (UTs),3702,4537,770,1428,1565,268,13,4,9,8860,9477,1690,14003,15583,2737
Total (All India),Total (All India),140750,136193,60127,106476,106316,40611,3630,2762,2372,213173,202698,70716,464029,447969,173826
37,Agra,158,33,137,84,40,77,43,3,39,268,81,238,553,157,491
38,Ahmedabad,174,142,102,0,0,0,4,0,4,1589,1205,429,1767,1347,535
39,Amritsar,15,14,16,0,0,0,0,0,0,132,59,94,147,73,110
40,Asansol,150,99,158,63,30,35,0,0,0,188,44,146,401,173,339
41,Aurangabad,55,20,37,74,44,40,0,0,0,431,338,144,560,402,221
42,Bengaluru,655,556,163,307,222,67,0,0,0,4018,3384,685,4980,4162,915
43,Bhopal,80,73,11,325,340,28,0,0,0,2501,1783,157,2906,2196,196
44,Chandigarh (City),11,5,4,0,0,0,0,0,0,171,166,63,182,171,67
45,Chennai,53,60,10,23,23,4,0,0,0,3577,3875,489,3653,3958,503
46,Coimbatore,357,319,95,377,305,104,0,0,0,427,369,106,1161,993,305
47,Delhi (City),712,633,231,364,272,105,13,4,9,4626,3971,1112,5715,4880,1457
48,Dhanbad,116,53,70,40,11,34,0,0,0,39,6,22,195,70,126
49,Durg Bhilainagar,232,140,51,48,39,7,0,0,0,507,470,79,787,649,137
50,Faridabad,148,100,81,0,0,0,14,16,10,474,369,216,636,485,307
51,Ghaziabad,321,242,130,109,97,32,102,61,33,361,261,173,893,661,368
52,Gwalior,642,585,100,0,0,0,0,0,0,588,553,70,1230,1138,170
53,Hyderabad,405,344,59,120,113,22,0,0,0,2418,2139,254,2943,2596,335
54,Indore,357,257,56,408,332,37,0,0,0,2801,2179,202,3566,2768,295
55,Jabalpur,397,432,72,385,452,23,0,0,0,1537,1722,173,2319,2606,268
56,Jaipur,686,496,277,119,105,42,29,15,21,2080,1717,508,2914,2333,848
57,Jamshedpur,0,0,0,63,44,29,0,0,0,92,90,43,155,134,72
58,Jodhpur,230,220,99,93,90,30,0,0,0,363,263,128,686,573,257
59,Kannur,278,388,24,353,465,32,0,0,0,900,1165,61,1531,2018,117
60,Kanpur,790,443,330,350,183,157,88,46,63,395,313,88,1623,985,638
61,Kochi,685,1051,49,356,387,33,0,0,0,1544,1350,95,2585,2788,177
62,Kolkata,13,0,15,25,30,6,0,0,0,1091,895,183,1129,925,204
63,Kollam,832,936,97,4,5,1,0,0,0,1260,1377,113,2096,2318,211
64,Kota,52,67,19,11,29,1,0,0,0,529,546,94,592,642,114
65,Kozhikode,529,609,54,499,566,40,0,0,0,998,1090,78,2026,2265,172
66,Lucknow,419,245,224,497,144,20,36,20,87,248,375,168,1200,784,499
67,Ludhiana,158,64,129,38,12,34,0,0,0,308,133,239,504,209,402
68,Madurai,81,52,44,440,343,146,0,0,0,247,188,74,768,583,264
69,Malappuram,245,317,27,293,363,37,0,0,0,417,514,43,955,1194,107
70,Meerut,247,226,90,0,0,0,57,47,28,168,131,56,472,404,174
71,Mumbai,0,0,0,0,0,0,0,0,0,414,1924,414,414,1924,414
72,Nagpur,296,151,89,22,5,1,0,0,0,895,1055,218,1213,1211,308
73,Nasik,0,0,0,26,12,26,0,0,0,235,138,235,261,150,261
74,Patna,137,79,92,88,41,55,0,0,0,97,46,53,322,166,200
75,Prayagraj,0,0,0,472,347,222,389,243,175,436,275,185,1297,865,582
76,Pune,59,11,63,124,55,86,0,0,0,319,119,244,502,185,393
77,Raipur,354,146,65,132,93,22,0,0,0,591,424,71,1077,663,158
78,Rajkot,103,61,62,83,73,37,0,0,0,308,246,79,494,380,178
79,Ranchi,0,0,0,0,0,0,0,0,0,263,192,117,263,192,117
80,Srinagar,98,158,24,0,0,0,0,0,0,378,333,31,476,491,55
81,Surat,41,18,29,78,47,39,0,0,0,531,396,241,650,461,309
82,Thiruvananthapuram,420,563,45,480,603,33,0,0,0,1206,1160,59,2106,2326,137
83,Thrissur,302,380,54,856,1030,89,0,0,0,1286,1619,88,2444,3029,231
84,Tiruchirappalli,290,337,81,78,77,19,0,0,0,251,238,65,619,652,165
85,Vadodara,146,73,85,0,0,0,0,0,0,420,331,114,566,404,199
86,Varanasi,89,79,96,49,56,36,0,0,0,58,23,91,196,158,223
87,Vasai Virar,112,45,82,25,12,14,0,0,0,228,189,58,365,246,154
88,Vijayawada,675,584,198,165,161,55,0,0,0,682,671,120,1522,1416,373
89,Vishakhapatnam,477,440,132,41,35,9,0,0,0,775,747,181,1293,1222,322
Total (Cities),Total (Cities),13882,12346,4258,8587,7733,1966,775,455,469,46666,43247,9487,69910,63781,16180
